INDICATOR,UNIT,UNIT_NUM,STUB_NAME,STUB_NAME_NUM,STUB_LABEL,STUB_LABEL_NUM,YEAR,YEAR_NUM,AGE,AGE_NUM,ESTIMATE,FLAG,PC1,PC2,PC3,PC1_binned
0.0,-2.6209651138614607,-2.62096511386146,1.872103252682432,-2.2749898040703638,-1.3369994215757055,-2.5618058195612785,-3.1819043711003525,-1.7657217815126418,1.227689583666084,-1.403740040488482,-0.04772573868099852,-1.7000776936875786,-3.2823962263328657,-2.2904517524081527,-4.164586770117575,0
0.0,-2.6209651138614607,-2.62096511386146,1.872103252682432,-2.2749898040703638,-1.3369994215757055,-2.5618058195612785,-2.5123937210515788,-1.6843221755343298,1.227689583666084,-1.403740040488482,-0.11325602183738183,0.3802548345896382,-3.6063852723433203,-2.416606124060426,-2.9984237947979806,0
0.0,-2.6209651138614607,-2.62096511386146,1.872103252682432,-2.2749898040703638,-1.3369994215757055,-2.5618058195612785,-1.8428830710028046,-1.6029225695560179,1.227689583666084,-1.403740040488482,-0.05708720770333897,0.3802548345896382,-3.546819120550088,-2.493117766493651,-2.5115899273143985,0
0.0,-2.6209651138614607,-2.62096511386146,1.872103252682432,-2.2749898040703638,-1.3369994215757055,-2.5618058195612785,-1.1733724209540306,-1.521522963577706,1.227689583666084,-1.403740040488482,-0.14134042890440335,0.3802548345896382,-3.49902525078131,-2.583104403125952,-2.0126280669728,0
0.0,-2.6209651138614607,-2.62096511386146,1.872103252682432,-2.2749898040703638,-1.3369994215757055,-2.5618058195612785,-1.1064213559491531,-1.440123357599394,1.227689583666084,-1.403740040488482,-0.13197895988206274,0.3802548345896382,-3.4870602868753218,-2.59856080789692,-1.9164197996377206,0
0.0,-2.6209651138614607,-2.62096511386146,1.872103252682432,-2.2749898040703638,-1.3369994215757055,-2.5618058195612785,-1.039470290944276,-1.358723751621082,1.227689583666084,-1.403740040488482,-0.11325602183738183,0.3802548345896382,-3.4743105041677036,-2.6131188797212834,-1.8210200651598427,0
0.0,-2.6209651138614607,-2.62096511386146,1.872103252682432,-2.2749898040703638,-1.3369994215757055,-2.5618058195612785,-0.9725192259393984,-1.27732414564277,1.227689583666084,-1.403740040488482,-0.12261749085972228,0.3802548345896382,-3.463915177864976,-2.6303719503854617,-1.7231947321103611,0
0.0,-2.6209651138614607,-2.62096511386146,1.872103252682432,-2.2749898040703638,-1.3369994215757055,-2.5618058195612785,-0.905568160934521,-1.195924539664458,1.227689583666084,-1.403740040488482,-0.10389455281504138,0.3802548345896382,-3.451165395157358,-2.6449300222098246,-1.6277949976324828,0
0.0,-2.6209651138614607,-2.62096511386146,1.872103252682432,-2.2749898040703638,-1.3369994215757055,-2.5618058195612785,-0.8386170959296436,-1.114524933686146,1.227689583666084,-1.403740040488482,-0.11325602183738183,0.3802548345896382,-3.44077006885463,-2.6621830928740033,-1.5299696645830017,0
0.0,-2.6209651138614607,-2.62096511386146,1.872103252682432,-2.2749898040703638,-1.3369994215757055,-2.5618058195612785,-0.7716660309247662,-1.033125327707834,1.227689583666084,-1.403740040488482,-0.06644867672567942,0.3802548345896382,-3.425665829742121,-2.674046165858551,-1.4369955286767264,0
0.0,-2.6209651138614607,-2.62096511386146,1.872103252682432,-2.2749898040703638,-1.3369994215757055,-2.5618058195612785,-0.7047149659198888,-0.951725721729522,1.227689583666084,-1.403740040488482,-0.08517161477036031,0.3802548345896382,-3.4160553222410237,-2.6921975694693345,-1.3383616627700439,0
0.0,-2.6209651138614607,-2.62096511386146,1.872103252682432,-2.2749898040703638,-1.3369994215757055,-2.5618058195612785,-0.6377639009150113,-0.87032611575121,1.227689583666084,-1.403740040488482,-0.11325602183738183,0.3802548345896382,-3.4072296335415575,-2.7112473060267233,-1.2389192640061601,0
